tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Brain - Cerebellar Hemisphere,Brain,Brain_Cerebellar_Hemisphere,38.79,38.6008,27.43,48.47,215,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Brain - Cerebellum,Brain,Brain_Cerebellum,34.03,33.5018,25.35,41.73,241,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Spleen,Spleen,Spleen,10.61,12.1122,6.843,16.26,241,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Brain - Frontal Cortex (BA9),Brain,Brain_Frontal_Cortex_BA9,8.946,10.2903,5.764,13.95,209,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Kidney - Medulla,Kidney,Kidney_Medulla,8.618,8.8178,4.023,19.99,4,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Brain - Nucleus accumbens (basal ganglia),Brain,Brain_Nucleus_accumbens_basal_ganglia,7.686,8.6804,3.343,12.2,246,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Brain - Cortex,Brain,Brain_Cortex,7.638,8.1061,4.431,10.94,255,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Brain - Anterior cingulate cortex (BA24),Brain,Brain_Anterior_cingulate_cortex_BA24,7.047,8.8123,3.96,12.12,176,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Brain - Hippocampus,Brain,Brain_Hippocampus,4.81,6.0086,2.457,8.713,197,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Pituitary,Pituitary,Pituitary,4.522,6.346,2.808,7.084,283,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Adipose - Visceral (Omentum),Adipose Tissue,Adipose_Visceral_Omentum,4.1,4.6872,2.775,6.122,541,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Brain - Caudate (basal ganglia),Brain,Brain_Caudate_basal_ganglia,4.066,4.7292,2.213,6.246,246,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Brain - Amygdala,Brain,Brain_Amygdala,3.661,4.1796,2.255,5.314,152,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Cells - EBV-transformed lymphocytes,Blood Vessel,Cells_EBV-transformed_lymphocytes,3.502,5.2891,2.302,7.049,174,TPM,gtex_v8,SSTR2,ENSG00000180616.8
Adipose - Subcutaneous,Adipose Tissue,Adipose_Subcutaneous,3.459,4.3136,2.078,5.541,663,TPM,gtex_v8,SSTR2,ENSG00000180616.8
