cancer_type,met_mean,met_median,met_std,n_samples,expression_rank,gene_median,gene_mean
KIRP,13.091985294117647,13.355,1.2045499050916104,136,1,13.355,13.091985294117647
THCA,12.564905660377358,12.93,1.5360342114154373,159,2,12.93,12.564905660377358
KIRC,12.513020134228189,12.54,0.9233668597583422,149,3,12.54,12.513020134228189
LUAD,11.780056818181817,11.715,1.6523180244420572,176,4,11.715,11.780056818181817
LIHC,11.581223021582733,11.68,0.7575986666804672,139,5,11.68,11.581223021582733
COAD,11.526986301369863,11.56,0.9048919690621217,146,6,11.56,11.526986301369863
PAAD,11.47631067961165,11.47,0.9705092561420406,103,7,11.47,11.47631067961165
LUSC,11.242559523809524,11.34,1.0097631174299877,168,8,11.34,11.242559523809524
HNSC,11.115087719298245,11.21,1.0010775129466727,114,9,11.21,11.115087719298245
BLCA,10.643478260869566,10.83,1.044585910971643,115,10,10.83,10.643478260869566
CESC,10.53019801980198,10.75,1.157098941489465,101,11,10.75,10.53019801980198
STAD,10.898030303030303,10.71,1.2743520667046495,132,12,10.71,10.898030303030303
SKCM,10.277131147540983,10.620000000000001,2.1213875388754864,122,13,10.620000000000001,10.277131147540983
UCEC,9.932314049586777,10.21,1.699325238798515,121,14,10.21,9.932314049586777
THYM,9.206280991735538,9.46,1.809242996500381,121,15,9.46,9.206280991735538
BRCA,9.017753623188407,9.145,1.7350474942976433,138,16,9.145,9.017753623188407
OV,8.711046511627906,8.92,1.53509994238334,86,17,8.92,8.711046511627906
PRAD,8.75075,8.86,1.088145124200239,160,18,8.86,8.75075
SARC,8.249777777777778,8.15,1.7175222810984583,135,19,8.15,8.249777777777778
TGCT,7.909770114942528,7.99,1.4078021605618252,87,20,7.99,7.909770114942528
GBM,7.9684375,7.99,1.5613581957137765,32,21,7.99,7.9684375
ACC,7.116708860759494,7.06,1.733892701792916,79,22,7.06,7.116708860759494
PCPG,6.558300653594771,6.49,1.4958454706855995,153,23,6.49,6.558300653594771
LGG,6.020737704918033,5.765,2.162378613812965,122,24,5.765,6.020737704918033
LAML,1.7049693251533744,1.72,1.3840825165550974,163,25,1.72,1.7049693251533744
