cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,0.7313849269971797,0.5792786121213171,0.9234311439184326,0.00854864955380656,True,79.0,,,,
BLCA,OS,,,,,False,,65.0,50.0,0.26842850029072696,1.2247600952937747
BLCA,OS,0.9107726570128389,0.7308285560803615,1.1350224698540847,0.40528870012918483,False,115.0,,,,
BLCA,PFI,,,,,False,,65.0,50.0,0.41190532839047656,0.6732945537367345
BRCA,OS,,,,,True,,35.0,103.0,0.030345806438780855,4.689594586142895
BRCA,OS,1.0454182267443262,0.8701179954318753,1.2560357038321002,0.6352817365433439,False,138.0,,,,
BRCA,PFI,,,,,True,,35.0,103.0,0.017383883635879824,5.65719700397849
CESC,OS,,,,,False,,54.0,47.0,0.4810427924512193,0.4964983010506608
CESC,OS,0.919514440720767,0.6850513370230732,1.2342240077484115,0.5763543932073105,False,101.0,,,,
CESC,PFI,,,,,False,,54.0,47.0,0.4214595797283076,0.6462417100680203
COAD,OS,,,,,False,,125.0,21.0,0.07450980518903928,3.180765724913123
COAD,OS,0.7074751675783204,0.500088904000262,1.000864263806402,0.050573240298930934,False,146.0,,,,
COAD,PFI,,,,,False,,125.0,21.0,0.28570280948975657,1.139761121074823
HNSC,OS,,,,,False,,93.0,21.0,0.36667671695181325,0.8148959234147717
HNSC,OS,1.1566040380706415,0.8789251434934632,1.5220100491882937,0.2989730811795611,False,114.0,,,,
HNSC,PFI,,,,,False,,93.0,21.0,0.34249320317515863,0.9010765847280501
KIRC,OS,1.1386829056977272,0.72432960908813,1.790067316674418,0.5736540078736787,False,149.0,,,,
KIRP,OS,0.8772393473731256,0.6347863840610452,1.2122958083260063,0.42745648593810937,False,136.0,,,,
LAML,OS,0.9634326742243612,0.8397347984439117,1.1053519747938625,0.5951881478610143,False,163.0,,,,
LGG,OS,1.1245311411253505,1.0147770585604974,1.246155770563563,0.0250961889720975,True,122.0,,,,
LIHC,OS,1.0210834568032212,0.7893626335830551,1.3208269322613104,0.8737679662728438,False,139.0,,,,
LUAD,OS,,,,,False,,145.0,31.0,0.24650753080818522,1.34298904733534
LUAD,OS,1.08955681239785,0.9520799732237596,1.2468848004678716,0.2126254980549128,False,176.0,,,,
LUAD,PFI,,,,,False,,145.0,31.0,0.14990407740409292,2.0732266823861574
LUSC,OS,,,,,False,,126.0,42.0,0.5518782820807986,0.3539630310102246
LUSC,OS,1.0253912028637977,0.8314786462355894,1.2645269047746017,0.8146422502312932,False,168.0,,,,
LUSC,PFI,,,,,False,,126.0,42.0,0.40466289607039063,0.6944263120781757
OV,OS,1.1906729577032231,1.0185333818500273,1.391905378330044,0.02849128041787075,True,86.0,,,,
PAAD,OS,1.3316003707914408,0.993445225820554,1.7848588944874435,0.05536936097404229,False,103.0,,,,
PRAD,OS,0.4178366403446127,0.076690339908653,2.2765247646890985,0.31302588815785043,False,160.0,,,,
SARC,OS,1.207765594107674,1.0261582628084172,1.4215134089726664,0.02317417434334871,True,135.0,,,,
SKCM,OS,,,,,False,,59.0,63.0,0.27653633446482095,1.1840337356749426
SKCM,OS,1.0914758687218764,0.9713451952645586,1.2264636483610785,0.14121580816337898,False,122.0,,,,
SKCM,PFI,,,,,False,,59.0,63.0,0.6140536715382382,0.2543140484864622
STAD,OS,,,,,False,,71.0,61.0,0.8318102367301603,0.04510545543563471
STAD,OS,1.064652103611623,0.8383466514818044,1.3520470317632745,0.6073791422346587,False,132.0,,,,
STAD,PFI,,,,,False,,71.0,61.0,0.9757724825970571,0.0009222978866941061
TGCT,OS,0.6391350950217645,0.2341897051532737,1.7442853408997074,0.3821861498768475,False,87.0,,,,
THCA,OS,,,,,False,,139.0,20.0,0.8365714818911212,0.042551817837137594
THCA,OS,0.8489011783939231,0.568951679266846,1.266598266494622,0.4223383448389816,False,159.0,,,,
THCA,PFI,,,,,False,,139.0,20.0,0.9196348935864507,0.01017952616140014
THYM,OS,,,,,True,,30.0,91.0,0.014778625998202418,5.942668594085129
THYM,OS,1.4433052596830627,0.8692063259806468,2.3965887158938766,0.15613424201693454,False,121.0,,,,
THYM,PFI,,,,,False,,30.0,91.0,0.655781325658223,0.19868876455863207
UCEC,OS,,,,,False,,43.0,78.0,0.9517133883600691,0.0036669421113893533
UCEC,OS,1.112743536345251,0.8407083143428852,1.472803535487734,0.45513479860194717,False,121.0,,,,
UCEC,PFI,,,,,False,,43.0,78.0,0.4497080370850445,0.5713876260199003
