cancer_type,msln_mean,msln_median,msln_std,n_samples,expression_rank,gene_median,gene_mean
OV,13.54767441860465,13.72,1.3556050738615102,86,1,13.72,13.54767441860465
PAAD,11.43271844660194,12.02,2.759688172983927,103,2,12.02,11.43271844660194
LUAD,10.965852272727274,11.585,3.175406270663052,176,3,11.585,10.965852272727274
CESC,9.58861386138614,10.45,3.738339746385544,101,4,10.45,9.58861386138614
STAD,8.642272727272728,9.34,3.3086727559503495,132,5,9.34,8.642272727272728
UCEC,8.747603305785125,8.92,3.8744283502630834,121,6,8.92,8.747603305785125
COAD,8.523767123287671,8.530000000000001,2.503363844609463,146,7,8.530000000000001,8.523767123287671
KIRP,7.247794117647059,7.985,3.244454343480288,136,8,7.985,7.247794117647059
LUSC,8.03422619047619,7.635,3.2326488456542815,168,9,7.635,8.03422619047619
HNSC,6.127719298245615,5.720000000000001,3.4012160852498527,114,10,5.720000000000001,6.127719298245615
KIRC,5.064026845637583,4.69,3.7185340978821584,149,11,4.69,5.064026845637583
PRAD,4.5589375,4.095000000000001,2.7872611377761567,160,12,4.095000000000001,4.5589375
BLCA,4.593304347826087,3.91,3.744421282373714,115,13,3.91,4.593304347826087
TGCT,3.9699999999999998,3.67,2.7316461516225736,87,14,3.67,3.9699999999999998
GBM,3.7365625,3.6100000000000003,2.527095246140223,32,15,3.6100000000000003,3.7365625
LGG,3.4251639344262297,3.52,2.053044195523119,122,16,3.52,3.4251639344262297
BRCA,2.7109420289855075,2.165,2.53369522927739,138,17,2.165,2.7109420289855075
THCA,2.662201257861635,2.16,2.2133683729048856,159,18,2.16,2.662201257861635
SARC,2.22162962962963,1.75,2.0365123125371802,135,19,1.75,2.22162962962963
THYM,3.0245454545454544,1.74,3.548575300971739,121,20,1.74,3.0245454545454544
LAML,2.5306134969325154,1.24,3.3105608590607583,163,21,1.24,2.5306134969325154
SKCM,1.0877049180327867,0.755,1.2831564818193912,122,22,0.755,1.0877049180327867
PCPG,0.8109150326797385,0.57,1.1969541165837319,153,23,0.57,0.8109150326797385
ACC,0.9508860759493671,0.5,1.5663580082253992,79,24,0.5,0.9508860759493671
LIHC,0.886546762589928,0.0,1.4730982396032015,139,25,0.0,0.886546762589928
