cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.0084066911084155,0.794040951834989,1.2806443450079685,0.9452643777805374,False,79.0,,,,
BLCA,OS,,,,,False,,46.0,69.0,0.058394346196165105,3.5824108781642434
BLCA,OS,1.0638093391020251,0.9974813871908244,1.13454779657376,0.05967475811162232,False,115.0,,,,
BLCA,PFI,,,,,False,,46.0,69.0,0.4014518384562412,0.7039732446183165
BRCA,OS,,,,,False,,20.0,118.0,0.6312900059846891,0.2303154765794941
BRCA,OS,1.0057780738765971,0.9096177147037422,1.1121040383655978,0.9105307992884484,False,138.0,,,,
BRCA,PFI,,,,,False,,20.0,118.0,0.40932925925628094,0.6807480369995161
CESC,OS,1.0115504277123293,0.9108494683441105,1.1233846023593745,0.8300396161830574,False,101.0,,,,
COAD,OS,0.9019064643394804,0.7967331197274292,1.0209632940772277,0.1026760299107875,False,146.0,,,,
HNSC,OS,,,,,False,,68.0,46.0,0.24094834897580353,1.3750369422974287
HNSC,OS,0.9908352581091991,0.9158686275032961,1.0719381352636081,0.8185851343302821,False,114.0,,,,
HNSC,PFI,,,,,False,,68.0,46.0,0.4655094042056558,0.5326152987960522
KIRC,OS,,,,,False,,70.0,79.0,0.08731271809023529,2.9232338687308714
KIRC,OS,0.9074692616054663,0.8143399320128551,1.0112490231484443,0.07883486874772347,False,149.0,,,,
KIRC,PFI,,,,,False,,70.0,79.0,0.21180580142264774,1.5590402502537568
KIRP,OS,,,,,True,,104.0,32.0,0.0005140115864560586,12.064134833555132
KIRP,OS,0.812126173124374,0.7144821950638142,0.9231145655277424,0.001452362892774558,True,136.0,,,,
KIRP,PFI,,,,,True,,104.0,32.0,0.0014826232427415788,10.100087005979114
LAML,OS,,,,,False,,27.0,136.0,0.47288486547731856,0.5152269413503509
LAML,OS,0.9531692202503576,0.8960431134851837,1.0139373304247792,0.12825317280518303,False,163.0,,,,
LAML,PFI,,,,,False,,27.0,136.0,0.47288486547731856,0.5152269413503509
LGG,OS,,,,,False,,29.0,93.0,0.1019394661382017,2.6749353438384045
LGG,OS,1.1069617636960052,0.9692529220746342,1.264235906209231,0.13381613377881982,False,122.0,,,,
LGG,PFI,,,,,True,,29.0,93.0,0.004805302329946922,7.951293361287909
LIHC,OS,0.9687323386006687,0.8368988015988863,1.1213331194379015,0.6703840949310325,False,139.0,,,,
LUAD,OS,0.9289032472697947,0.8698273359154813,0.9919914069844903,0.027820921149733713,True,176.0,,,,
LUSC,OS,,,,,False,,137.0,31.0,0.3946250039013587,0.7246433902155868
LUSC,OS,1.0673605057024003,1.0012905641466088,1.1377900580779603,0.04555171996952119,True,168.0,,,,
LUSC,PFI,,,,,False,,137.0,31.0,0.4519370987828891,0.565789064763179
OV,OS,1.0321188366327534,0.8476186262872152,1.2567790040177598,0.7530455317513867,False,86.0,,,,
PAAD,OS,1.0357776220887636,0.939369086986195,1.1420806765760858,0.4806855196066038,False,103.0,,,,
PRAD,OS,,,,,False,,67.0,93.0,0.4142161782425251,0.6666666666666669
PRAD,OS,0.578655677727903,0.16187401564784232,2.0685370164362262,0.3999729854847667,False,160.0,,,,
PRAD,PFI,,,,,False,,67.0,93.0,0.45571939206381484,0.5563876348539384
SARC,OS,0.9996178351801401,0.8616810795112534,1.1596353223596343,0.9959744132083199,False,135.0,,,,
SKCM,OS,0.932481854807374,0.7487068336640845,1.1613656647017079,0.5324987577865277,False,122.0,,,,
STAD,OS,,,,,True,,111.0,21.0,0.0163897107629469,5.760574639264602
STAD,OS,0.9147924400874009,0.8438226840815566,0.9917311115568194,0.030657599551321017,True,132.0,,,,
STAD,PFI,,,,,False,,111.0,21.0,0.17832893806473807,1.811495471792292
TGCT,OS,,,,,False,,24.0,63.0,0.3740698855829987,0.7901000126598302
TGCT,OS,0.4256851103628004,0.09767975996862664,1.855121401227756,0.25546800011218407,False,87.0,,,,
TGCT,PFI,,,,,False,,24.0,63.0,0.2264969617259281,1.4627255056130237
THCA,OS,,,,,False,,28.0,131.0,0.4606292603692026,0.5443651871555903
THCA,OS,0.8398181246249322,0.5807602023993877,1.2144332196569976,0.353603962542025,False,159.0,,,,
THCA,PFI,,,,,False,,28.0,131.0,0.4378074973482322,0.602022216697301
THYM,OS,,,,,False,,21.0,100.0,0.2936670343129636,1.10273332968268
THYM,OS,1.1438759766451327,0.9819335855499798,1.332526220918489,0.08436831206924812,False,121.0,,,,
THYM,PFI,,,,,False,,21.0,100.0,0.14932517404582352,2.0791309285993664
UCEC,OS,,,,,False,,97.0,24.0,0.17871291759149158,1.8082948208865803
UCEC,OS,1.0896264533148075,0.9742259347050054,1.2186965728056862,0.13289184219838981,False,121.0,,,,
UCEC,PFI,,,,,False,,97.0,24.0,0.8209942895802191,0.05119644890302523
