cancer_type,nectin4_mean,nectin4_median,nectin4_std,n_samples,expression_rank,gene_median,gene_mean
BLCA,11.214782608695652,11.93,2.4729928412102904,115,1,11.93,11.214782608695652
CESC,11.342475247524751,11.75,1.7313118759718564,101,2,11.75,11.342475247524751
HNSC,11.143947368421053,11.375,1.276644952008423,114,3,11.375,11.143947368421053
LUSC,9.977261904761905,10.344999999999999,1.596317132052705,168,4,10.344999999999999,9.977261904761905
BRCA,10.06644927536232,10.114999999999998,1.42238506429548,138,5,10.114999999999998,10.06644927536232
PAAD,9.940097087378641,10.01,1.2099793347332957,103,6,10.01,9.940097087378641
LUAD,9.608125,9.95,1.4596040191973791,176,7,9.95,9.608125
OV,9.365697674418605,9.535,1.0968055655859932,86,8,9.535,9.365697674418605
PRAD,9.3719375,9.37,0.6227323610938003,160,9,9.37,9.3719375
UCEC,8.814462809917355,9.25,2.0507514681262666,121,10,9.25,8.814462809917355
THCA,7.717672955974842,8.95,2.591955469946975,159,11,8.95,7.717672955974842
STAD,8.128560606060606,8.57,1.9192687588813482,132,12,8.57,8.128560606060606
COAD,8.109794520547945,8.375,1.3860673562665338,146,13,8.375,8.109794520547945
TGCT,7.474252873563218,7.59,1.431359438536721,87,14,7.59,7.474252873563218
THYM,5.737768595041322,5.45,2.2912276504104754,121,15,5.45,5.737768595041322
SKCM,3.5986885245901643,3.42,1.889694518501775,122,16,3.42,3.5986885245901643
SARC,3.8783703703703707,3.27,2.693575332296709,135,17,3.27,3.8783703703703707
KIRP,3.8008823529411764,3.06,2.6037945161538647,136,18,3.06,3.8008823529411764
LAML,3.2377300613496933,3.01,1.702703116221959,163,19,3.01,3.2377300613496933
KIRC,3.561610738255033,2.8,2.2681129992090803,149,20,2.8,3.561610738255033
LIHC,2.8815107913669062,2.62,1.9622812492019734,139,21,2.62,2.8815107913669062
GBM,2.7546875,2.425,1.6154835177022826,32,22,2.425,2.7546875
PCPG,2.252549019607843,2.11,1.4439062193503556,153,23,2.11,2.252549019607843
LGG,1.250327868852459,1.1549999999999998,0.8280155849795189,122,24,1.1549999999999998,1.250327868852459
ACC,1.4913924050632912,1.12,1.5647648583710136,79,25,1.12,1.4913924050632912
