cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.2501222725763053,1.0328361229150647,1.5131206797652483,0.02192771799982199,True,79.0,,,,
BLCA,OS,0.9612272349467729,0.875439989669732,1.055421054676735,0.40706051346260896,False,115.0,,,,
BRCA,OS,0.9553281393716182,0.8208976335040179,1.1117730355483733,0.5547759969569825,False,138.0,,,,
CESC,OS,0.8981770372845671,0.7442115519448866,1.0839955227744504,0.26300871333814557,False,101.0,,,,
COAD,OS,,,,,False,,48.0,98.0,0.11124904478547241,2.5363876547969713
COAD,OS,0.7880118332391705,0.6512476034965662,0.9534970201671267,0.014302436008455618,True,146.0,,,,
COAD,PFI,,,,,False,,48.0,98.0,0.41827995150273045,0.6551428605084996
HNSC,OS,1.0121172581269624,0.8286112302933375,1.2362629261442644,0.9060640354525286,False,114.0,,,,
KIRC,OS,1.1933318270895317,1.022744111294238,1.392372572786343,0.024722964331482272,True,149.0,,,,
KIRP,OS,1.0951938123376215,0.9448755195104714,1.2694259315809489,0.22735751926465778,False,136.0,,,,
LAML,OS,1.0717555058374502,0.9526312969093855,1.205775905137147,0.24901859556427203,False,163.0,,,,
LGG,OS,1.5240729359986456,1.1314134454348637,2.053005754541616,0.005567193549076212,True,122.0,,,,
LIHC,OS,1.0548016824921367,0.9550336055444494,1.1649920829267186,0.29260940171204164,False,139.0,,,,
LUAD,OS,,,,,False,,120.0,56.0,0.31196464053525913,1.0223398157213603
LUAD,OS,0.9876548476128101,0.8410284829496248,1.1598443070465074,0.8795841558395839,False,176.0,,,,
LUAD,PFI,,,,,False,,120.0,56.0,0.864757717268779,0.029009234232927124
LUSC,OS,,,,,False,,118.0,50.0,0.10097639151777366,2.6900540068943197
LUSC,OS,0.8865662958173376,0.7810476410325998,1.006340401771303,0.0625739041556885,False,168.0,,,,
LUSC,PFI,,,,,False,,118.0,50.0,0.16703086937601896,1.9093914829946121
OV,OS,,,,,False,,60.0,26.0,0.6173047501090423,0.2496739539299537
OV,OS,1.0807416772592593,0.8523440246586116,1.3703417155214712,0.5215092264154697,False,86.0,,,,
OV,PFI,,,,,False,,60.0,26.0,0.5087265643928367,0.4366855260642849
PAAD,OS,0.9919625352589221,0.7874205141866226,1.2496368250879704,0.9453925455399528,False,103.0,,,,
PRAD,OS,,,,,False,,134.0,26.0,0.667779474799556,0.18421052631578946
PRAD,OS,0.5005521286207388,0.03357620908582879,7.4622013708063655,0.6156598108773178,False,160.0,,,,
PRAD,PFI,,,,,False,,134.0,26.0,0.1311274281479179,2.279106131634871
SARC,OS,1.0311021720576905,0.9400390709049206,1.1309867027108078,0.5161815457432297,False,135.0,,,,
SKCM,OS,1.0959753956380616,0.9592212800604134,1.252226251453006,0.17775170965704679,False,122.0,,,,
STAD,OS,,,,,False,,50.0,82.0,0.5085518702732686,0.43704561209195436
STAD,OS,0.8558930275435742,0.7471747829287881,0.9804304044178693,0.024761093488710556,True,132.0,,,,
STAD,PFI,,,,,False,,50.0,82.0,0.6850044662912218,0.1645467545686188
TGCT,OS,0.7227361627162805,0.2776812394660413,1.8811049745466644,0.5058481593809261,False,87.0,,,,
THCA,OS,,,,,True,,82.0,77.0,0.022869372642404077,5.178400084964381
THCA,OS,0.8229418083688057,0.6418686797711189,1.055096223425034,0.12430260802105612,False,159.0,,,,
THCA,PFI,,,,,False,,82.0,77.0,0.8836894417556459,0.02140188271261992
THYM,OS,1.3921811311941805,1.029396860096617,1.8828193257469192,0.031708930645556556,True,121.0,,,,
UCEC,OS,,,,,False,,73.0,48.0,0.6756537944522925,0.17505958121501533
UCEC,OS,1.0775408812699847,0.8518704553373584,1.3629940368671172,0.5333779573657623,False,121.0,,,,
UCEC,PFI,,,,,False,,73.0,48.0,0.34652807301795374,0.886130467922936
