cancer_type,threshold_method,threshold_value,n_eligible,n_total,pct_eligible,expression_group,dataset,is_priority_cancer
ACC,median,12.67,41,79,51.9,CD46-High,TCGA,False
ACC,median,12.67,38,79,48.1,CD46-Low,TCGA,False
ACC,75th_pct,13.434999999999999,20,79,25.3,CD46-High,TCGA,False
ACC,75th_pct,13.434999999999999,59,79,74.7,CD46-Low,TCGA,False
ACC,log2tpm_2.5,2.5,79,79,100.0,CD46-High,TCGA,False
ACC,log2tpm_2.5,2.5,0,79,0.0,CD46-Low,TCGA,False
ACC,log2tpm_3.0,3.0,79,79,100.0,CD46-High,TCGA,False
ACC,log2tpm_3.0,3.0,0,79,0.0,CD46-Low,TCGA,False
BLCA,median,12.38,58,115,50.4,CD46-High,TCGA,True
BLCA,median,12.38,57,115,49.6,CD46-Low,TCGA,True
BLCA,75th_pct,12.809999999999999,29,115,25.2,CD46-High,TCGA,True
BLCA,75th_pct,12.809999999999999,86,115,74.8,CD46-Low,TCGA,True
BLCA,log2tpm_2.5,2.5,115,115,100.0,CD46-High,TCGA,True
BLCA,log2tpm_2.5,2.5,0,115,0.0,CD46-Low,TCGA,True
BLCA,log2tpm_3.0,3.0,115,115,100.0,CD46-High,TCGA,True
BLCA,log2tpm_3.0,3.0,0,115,0.0,CD46-Low,TCGA,True
BRCA,median,12.88,70,138,50.7,CD46-High,TCGA,True
BRCA,median,12.88,68,138,49.3,CD46-Low,TCGA,True
BRCA,75th_pct,13.3525,35,138,25.4,CD46-High,TCGA,True
BRCA,75th_pct,13.3525,103,138,74.6,CD46-Low,TCGA,True
BRCA,log2tpm_2.5,2.5,138,138,100.0,CD46-High,TCGA,True
BRCA,log2tpm_2.5,2.5,0,138,0.0,CD46-Low,TCGA,True
BRCA,log2tpm_3.0,3.0,138,138,100.0,CD46-High,TCGA,True
BRCA,log2tpm_3.0,3.0,0,138,0.0,CD46-Low,TCGA,True
CESC,median,12.24,51,101,50.5,CD46-High,TCGA,False
CESC,median,12.24,50,101,49.5,CD46-Low,TCGA,False
CESC,75th_pct,12.57,26,101,25.7,CD46-High,TCGA,False
CESC,75th_pct,12.57,75,101,74.3,CD46-Low,TCGA,False
CESC,log2tpm_2.5,2.5,101,101,100.0,CD46-High,TCGA,False
CESC,log2tpm_2.5,2.5,0,101,0.0,CD46-Low,TCGA,False
CESC,log2tpm_3.0,3.0,101,101,100.0,CD46-High,TCGA,False
CESC,log2tpm_3.0,3.0,0,101,0.0,CD46-Low,TCGA,False
COAD,median,12.99,74,146,50.7,CD46-High,TCGA,False
COAD,median,12.99,72,146,49.3,CD46-Low,TCGA,False
COAD,75th_pct,13.39,39,146,26.7,CD46-High,TCGA,False
COAD,75th_pct,13.39,107,146,73.3,CD46-Low,TCGA,False
COAD,log2tpm_2.5,2.5,146,146,100.0,CD46-High,TCGA,False
COAD,log2tpm_2.5,2.5,0,146,0.0,CD46-Low,TCGA,False
COAD,log2tpm_3.0,3.0,146,146,100.0,CD46-High,TCGA,False
COAD,log2tpm_3.0,3.0,0,146,0.0,CD46-Low,TCGA,False
GBM,median,10.36,16,32,50.0,CD46-High,TCGA,False
GBM,median,10.36,16,32,50.0,CD46-Low,TCGA,False
GBM,75th_pct,10.87,8,32,25.0,CD46-High,TCGA,False
GBM,75th_pct,10.87,24,32,75.0,CD46-Low,TCGA,False
GBM,log2tpm_2.5,2.5,32,32,100.0,CD46-High,TCGA,False
GBM,log2tpm_2.5,2.5,0,32,0.0,CD46-Low,TCGA,False
GBM,log2tpm_3.0,3.0,32,32,100.0,CD46-High,TCGA,False
GBM,log2tpm_3.0,3.0,0,32,0.0,CD46-Low,TCGA,False
HNSC,median,11.72,58,114,50.9,CD46-High,TCGA,False
HNSC,median,11.72,56,114,49.1,CD46-Low,TCGA,False
HNSC,75th_pct,12.12,30,114,26.3,CD46-High,TCGA,False
HNSC,75th_pct,12.12,84,114,73.7,CD46-Low,TCGA,False
HNSC,log2tpm_2.5,2.5,114,114,100.0,CD46-High,TCGA,False
HNSC,log2tpm_2.5,2.5,0,114,0.0,CD46-Low,TCGA,False
HNSC,log2tpm_3.0,3.0,114,114,100.0,CD46-High,TCGA,False
HNSC,log2tpm_3.0,3.0,0,114,0.0,CD46-Low,TCGA,False
KIRC,median,12.56,76,149,51.0,CD46-High,TCGA,True
