cancer_type,sstr2_mean,sstr2_median,sstr2_std,n_samples,expression_rank,gene_median,gene_mean
PCPG,8.33450980392157,8.55,2.0743346876251256,153,1,8.55,8.33450980392157
LGG,7.86672131147541,8.135,1.681598728985959,122,2,8.135,7.86672131147541
KIRC,6.68248322147651,6.89,1.3137376563774619,149,3,6.89,6.68248322147651
GBM,6.32625,6.234999999999999,1.6384881898833135,32,4,6.234999999999999,6.32625
LIHC,5.552589928057554,5.81,1.74528571562744,139,5,5.81,5.552589928057554
BRCA,6.274057971014492,5.779999999999999,1.8716301640728559,138,6,5.779999999999999,6.274057971014492
STAD,5.29,5.48,1.3507108674058432,132,7,5.48,5.29
PAAD,5.419126213592232,5.28,1.2778122440220934,103,8,5.28,5.419126213592232
SARC,4.9981481481481485,4.86,1.6964771158945846,135,9,4.86,4.9981481481481485
TGCT,4.9656321839080455,4.79,1.1205259366771054,87,10,4.79,4.9656321839080455
THCA,4.853333333333333,4.76,1.0511534753269776,159,11,4.76,4.853333333333333
UCEC,5.029421487603305,4.74,1.474025835097348,121,12,4.74,5.029421487603305
PRAD,4.74125,4.6850000000000005,1.2378149494397794,160,13,4.6850000000000005,4.74125
LUAD,4.278181818181818,4.375,1.3355684037288995,176,14,4.375,4.278181818181818
LUSC,4.623809523809523,4.335,1.6219459774976261,168,15,4.335,4.623809523809523
ACC,4.244683544303797,4.13,1.3208348520023996,79,16,4.13,4.244683544303797
HNSC,4.099035087719298,4.125,1.4304235212290763,114,17,4.125,4.099035087719298
OV,4.092441860465116,4.074999999999999,1.129942149530634,86,18,4.074999999999999,4.092441860465116
SKCM,4.135737704918033,3.96,1.2903340063673736,122,19,3.96,4.135737704918033
BLCA,4.032869565217392,3.87,1.3362028979881442,115,20,3.87,4.032869565217392
KIRP,4.071985294117646,3.81,1.8868271701861048,136,21,3.81,4.071985294117646
THYM,3.817603305785124,3.49,1.3787174141168235,121,22,3.49,3.817603305785124
CESC,3.6405940594059403,3.41,1.7408353292498278,101,23,3.41,3.6405940594059403
LAML,3.5317177914110425,3.38,1.5759056166088408,163,24,3.38,3.5317177914110425
COAD,3.4692465753424657,3.3449999999999998,1.5488407614401598,146,25,3.3449999999999998,3.4692465753424657
