cancer_type,threshold_method,threshold_value,n_eligible,n_total,pct_eligible,expression_group,dataset,is_priority_cancer,gene_symbol
ACC,median,4.13,40,79,50.6,SSTR2-High,TCGA,False,SSTR2
ACC,median,4.13,39,79,49.4,SSTR2-Low,TCGA,False,SSTR2
ACC,75th_pct,5.01,20,79,25.3,SSTR2-High,TCGA,False,SSTR2
ACC,75th_pct,5.01,59,79,74.7,SSTR2-Low,TCGA,False,SSTR2
ACC,log2tpm_2.5,2.5,73,79,92.4,SSTR2-High,TCGA,False,SSTR2
ACC,log2tpm_2.5,2.5,6,79,7.6,SSTR2-Low,TCGA,False,SSTR2
ACC,log2tpm_3.0,3.0,67,79,84.8,SSTR2-High,TCGA,False,SSTR2
ACC,log2tpm_3.0,3.0,12,79,15.2,SSTR2-Low,TCGA,False,SSTR2
BLCA,median,3.87,59,115,51.3,SSTR2-High,TCGA,True,SSTR2
BLCA,median,3.87,56,115,48.7,SSTR2-Low,TCGA,True,SSTR2
BLCA,75th_pct,4.695,29,115,25.2,SSTR2-High,TCGA,True,SSTR2
BLCA,75th_pct,4.695,86,115,74.8,SSTR2-Low,TCGA,True,SSTR2
BLCA,log2tpm_2.5,2.5,104,115,90.4,SSTR2-High,TCGA,True,SSTR2
BLCA,log2tpm_2.5,2.5,11,115,9.6,SSTR2-Low,TCGA,True,SSTR2
BLCA,log2tpm_3.0,3.0,91,115,79.1,SSTR2-High,TCGA,True,SSTR2
BLCA,log2tpm_3.0,3.0,24,115,20.9,SSTR2-Low,TCGA,True,SSTR2
BRCA,median,5.779999999999999,69,138,50.0,SSTR2-High,TCGA,True,SSTR2
BRCA,median,5.779999999999999,69,138,50.0,SSTR2-Low,TCGA,True,SSTR2
BRCA,75th_pct,7.2,36,138,26.1,SSTR2-High,TCGA,True,SSTR2
BRCA,75th_pct,7.2,102,138,73.9,SSTR2-Low,TCGA,True,SSTR2
BRCA,log2tpm_2.5,2.5,138,138,100.0,SSTR2-High,TCGA,True,SSTR2
BRCA,log2tpm_2.5,2.5,0,138,0.0,SSTR2-Low,TCGA,True,SSTR2
BRCA,log2tpm_3.0,3.0,138,138,100.0,SSTR2-High,TCGA,True,SSTR2
BRCA,log2tpm_3.0,3.0,0,138,0.0,SSTR2-Low,TCGA,True,SSTR2
CESC,median,3.41,52,101,51.5,SSTR2-High,TCGA,False,SSTR2
CESC,median,3.41,49,101,48.5,SSTR2-Low,TCGA,False,SSTR2
CESC,75th_pct,4.23,26,101,25.7,SSTR2-High,TCGA,False,SSTR2
CESC,75th_pct,4.23,75,101,74.3,SSTR2-Low,TCGA,False,SSTR2
CESC,log2tpm_2.5,2.5,75,101,74.3,SSTR2-High,TCGA,False,SSTR2
CESC,log2tpm_2.5,2.5,26,101,25.7,SSTR2-Low,TCGA,False,SSTR2
CESC,log2tpm_3.0,3.0,61,101,60.4,SSTR2-High,TCGA,False,SSTR2
CESC,log2tpm_3.0,3.0,40,101,39.6,SSTR2-Low,TCGA,False,SSTR2
COAD,median,3.3449999999999998,73,146,50.0,SSTR2-High,TCGA,False,SSTR2
COAD,median,3.3449999999999998,73,146,50.0,SSTR2-Low,TCGA,False,SSTR2
COAD,75th_pct,4.37,37,146,25.3,SSTR2-High,TCGA,False,SSTR2
COAD,75th_pct,4.37,109,146,74.7,SSTR2-Low,TCGA,False,SSTR2
COAD,log2tpm_2.5,2.5,106,146,72.6,SSTR2-High,TCGA,False,SSTR2
COAD,log2tpm_2.5,2.5,40,146,27.4,SSTR2-Low,TCGA,False,SSTR2
COAD,log2tpm_3.0,3.0,81,146,55.5,SSTR2-High,TCGA,False,SSTR2
COAD,log2tpm_3.0,3.0,65,146,44.5,SSTR2-Low,TCGA,False,SSTR2
GBM,median,6.234999999999999,16,32,50.0,SSTR2-High,TCGA,False,SSTR2
GBM,median,6.234999999999999,16,32,50.0,SSTR2-Low,TCGA,False,SSTR2
GBM,75th_pct,7.1825,8,32,25.0,SSTR2-High,TCGA,False,SSTR2
GBM,75th_pct,7.1825,24,32,75.0,SSTR2-Low,TCGA,False,SSTR2
GBM,log2tpm_2.5,2.5,32,32,100.0,SSTR2-High,TCGA,False,SSTR2
GBM,log2tpm_2.5,2.5,0,32,0.0,SSTR2-Low,TCGA,False,SSTR2
GBM,log2tpm_3.0,3.0,31,32,96.9,SSTR2-High,TCGA,False,SSTR2
GBM,log2tpm_3.0,3.0,1,32,3.1,SSTR2-Low,TCGA,False,SSTR2
HNSC,median,4.125,57,114,50.0,SSTR2-High,TCGA,False,SSTR2
HNSC,median,4.125,57,114,50.0,SSTR2-Low,TCGA,False,SSTR2
HNSC,75th_pct,4.84,29,114,25.4,SSTR2-High,TCGA,False,SSTR2
HNSC,75th_pct,4.84,85,114,74.6,SSTR2-Low,TCGA,False,SSTR2
HNSC,log2tpm_2.5,2.5,101,114,88.6,SSTR2-High,TCGA,False,SSTR2
HNSC,log2tpm_2.5,2.5,13,114,11.4,SSTR2-Low,TCGA,False,SSTR2
HNSC,log2tpm_3.0,3.0,89,114,78.1,SSTR2-High,TCGA,False,SSTR2
HNSC,log2tpm_3.0,3.0,25,114,21.9,SSTR2-Low,TCGA,False,SSTR2
KIRC,median,6.89,76,149,51.0,SSTR2-High,TCGA,True,SSTR2
KIRC,median,6.89,73,149,49.0,SSTR2-Low,TCGA,True,SSTR2
KIRC,75th_pct,7.42,38,149,25.5,SSTR2-High,TCGA,True,SSTR2
KIRC,75th_pct,7.42,111,149,74.5,SSTR2-Low,TCGA,True,SSTR2
KIRC,log2tpm_2.5,2.5,147,149,98.7,SSTR2-High,TCGA,True,SSTR2
