cancer_type,sstr2_mean,sstr2_median,sstr2_std,n_samples,expression_rank,gene_median,gene_mean,expr_rank_score,hr,surv_pval,survival_impact,cna_score,tissue,protein_score,priority_score,priority_label,priority_rank
PCPG,8.33450980392157,8.55,2.0743346876251256,153,1,8.55,8.33450980392157,1.0,,,0.0,0.15,,0.5,0.4475,EXPLORATORY,1
LGG,7.86672131147541,8.135,1.681598728985959,122,2,8.135,7.86672131147541,0.9583333333333334,0.6946055276771268,1.4434462405164202e-05,0.0,0.15,,0.5,0.43291666666666667,EXPLORATORY,2
KIRC,6.68248322147651,6.89,1.313737656377462,149,3,6.89,6.68248322147651,0.9166666666666666,0.8873877856958828,0.4070480612479703,0.0,0.15,Kidney,0.5,0.41833333333333333,EXPLORATORY,3
GBM,6.32625,6.234999999999999,1.6384881898833137,32,4,6.234999999999999,6.32625,0.875,,,0.0,0.15,,0.5,0.40375,EXPLORATORY,4
LIHC,5.552589928057554,5.81,1.74528571562744,139,5,5.81,5.552589928057554,0.8333333333333334,1.070244939342718,0.2751897908776272,0.0,0.15,Liver,0.5,0.3891666666666667,EXPLORATORY,5
UCEC,5.029421487603305,4.74,1.474025835097348,121,12,4.74,5.029421487603305,0.5416666666666667,1.5143227578071523,0.0032705485454882,0.25716137890357615,0.15,,0.5,0.377089815949585,EXPLORATORY,6
BRCA,6.274057971014492,5.779999999999999,1.871630164072856,138,6,5.779999999999999,6.274057971014492,0.7916666666666666,1.0437103209828127,0.5839014380391936,0.0,0.15,Breast,0.5,0.3745833333333333,EXPLORATORY,7
STAD,5.29,5.48,1.3507108674058432,132,7,5.48,5.29,0.75,1.099351584203355,0.3677813719651791,0.0,0.15,,0.5,0.36,EXPLORATORY,8
PAAD,5.419126213592232,5.28,1.2778122440220934,103,8,5.28,5.419126213592232,0.7083333333333333,0.9598430396918126,0.7060584981256596,0.0,0.15,Pancreas,0.5,0.34541666666666665,EXPLORATORY,9
SARC,4.9981481481481485,4.86,1.6964771158945846,135,9,4.86,4.9981481481481485,0.6666666666666667,1.0607429224489926,0.4799724995165882,0.0,0.15,,0.5,0.33083333333333337,EXPLORATORY,10
TGCT,4.9656321839080455,4.79,1.1205259366771054,87,10,4.79,4.9656321839080455,0.625,0.5532959300365895,0.4907222512873666,0.0,0.15,,0.5,0.31625,EXPLORATORY,11
THCA,4.853333333333333,4.76,1.0511534753269776,159,11,4.76,4.853333333333333,0.5833333333333333,1.563365220655529,0.0530151263876063,0.0,0.15,,0.5,0.30166666666666664,EXPLORATORY,12
PRAD,4.74125,4.6850000000000005,1.2378149494397794,160,13,4.6850000000000005,4.74125,0.5,0.6084507401973155,0.4828349512955595,0.0,0.15,Prostate,0.5,0.27249999999999996,EXPLORATORY,13
LUAD,4.278181818181818,4.375,1.3355684037288995,176,14,4.375,4.278181818181818,0.45833333333333337,1.0809284974228837,0.3405520835768065,0.0,0.15,Lung,0.5,0.2579166666666667,EXPLORATORY,14
LUSC,4.623809523809523,4.335,1.621945977497626,168,15,4.335,4.623809523809523,0.41666666666666663,0.9360691973906472,0.33082751053453,0.0,0.15,Lung,0.5,0.2433333333333333,EXPLORATORY,15
ACC,4.244683544303797,4.13,1.3208348520023996,79,16,4.13,4.244683544303797,0.375,0.978445144076954,0.8817506194417066,0.0,0.15,,0.5,0.22874999999999995,EXPLORATORY,16
HNSC,4.099035087719298,4.125,1.4304235212290763,114,17,4.125,4.099035087719298,0.33333333333333337,1.0114458635000991,0.8997700668221649,0.0,0.15,,0.5,0.21416666666666667,EXPLORATORY,17
KIRP,4.071985294117646,3.81,1.8868271701861048,136,21,3.81,4.071985294117646,0.16666666666666663,1.2619542003150348,0.0298516383243582,0.1309771001575174,0.15,,0.5,0.20167531838846442,EXPLORATORY,18
OV,4.092441860465116,4.074999999999999,1.129942149530634,86,18,4.074999999999999,4.092441860465116,0.29166666666666663,1.0042799259767607,0.9678342909597698,0.0,0.15,Ovary,0.5,0.19958333333333333,EXPLORATORY,19
SKCM,4.135737704918033,3.96,1.2903340063673736,122,19,3.96,4.135737704918033,0.25,0.7525084361484585,0.0065978791200707,0.0,0.15,,0.5,0.185,EXPLORATORY,20
BLCA,4.032869565217392,3.87,1.3362028979881442,115,20,3.87,4.032869565217392,0.20833333333333337,1.1213389028537246,0.2439032555224112,0.0,0.15,Bladder,0.5,0.17041666666666666,EXPLORATORY,21
THYM,3.817603305785124,3.49,1.3787174141168237,121,22,3.49,3.817603305785124,0.125,1.3455410697361667,0.1557992227914643,0.0,0.15,,0.5,0.14125,EXPLORATORY,22
CESC,3.64059405940594,3.41,1.7408353292498278,101,23,3.41,3.64059405940594,0.08333333333333337,0.9327018267796798,0.5539966511101382,0.0,0.15,,0.5,0.12666666666666668,EXPLORATORY,23
LAML,3.5317177914110425,3.38,1.5759056166088408,163,24,3.38,3.5317177914110425,0.04166666666666663,0.789577935632321,0.0005196389710601,0.0,0.15,,0.5,0.11208333333333331,EXPLORATORY,24
COAD,3.4692465753424657,3.345,1.5488407614401598,146,25,3.345,3.4692465753424657,0.0,1.126996527990681,0.2279143780792619,0.0,0.15,Colon,0.5,0.0975,EXPLORATORY,25
