cancer_type,endpoint,n_high,n_low,log_rank_p,log_rank_stat,significant,hazard_ratio,hr_lower_95,hr_upper_95,p_value,n_samples
ACC,OS,28.0,51.0,0.9926582474167651,8.467040237898143e-05,False,,,,,
ACC,OS,,,,,False,0.978445144076954,0.7342489161189141,1.3038560615494659,0.8817506194417066,79.0
ACC,PFI,28.0,51.0,0.1716465812063773,1.8685034367537603,False,,,,,
BLCA,OS,31.0,84.0,0.9883936055379682,0.00021161437412747734,False,,,,,
BLCA,OS,,,,,False,1.1213389028537246,0.9248716095977937,1.3595410671109374,0.24390325552241127,115.0
BLCA,PFI,31.0,84.0,0.7103181666641358,0.13795936481319665,False,,,,,
BRCA,OS,112.0,26.0,0.22407628868817953,1.4780728352460215,False,,,,,
BRCA,OS,,,,,False,1.0437103209828127,0.8955508294695489,1.2163812463568113,0.5839014380391936,138.0
BRCA,PFI,112.0,26.0,0.1973574955045937,1.6618220373979582,False,,,,,
CESC,OS,,,,,False,0.9327018267796798,0.740511783095627,1.174772255535888,0.5539966511101382,101.0
COAD,OS,24.0,122.0,0.11283728790332631,2.5140266114226324,False,,,,,
COAD,OS,,,,,False,1.126996527990681,0.9279436261622332,1.368748206565076,0.2279143780792619,146.0
COAD,PFI,24.0,122.0,0.31334904304058764,1.016506793281186,False,,,,,
HNSC,OS,33.0,81.0,0.28614912224140965,1.1376515122805841,False,,,,,
HNSC,OS,,,,,False,1.0114458635000991,0.8472841659461133,1.2074139655957228,0.8997700668221649,114.0
HNSC,PFI,33.0,81.0,0.5735194895414288,0.31682911753505033,False,,,,,
KIRC,OS,,,,,False,0.8873877856958828,0.6690450328033405,1.1769866654606906,0.4070480612479703,149.0
KIRP,OS,37.0,99.0,0.01589827244357508,5.8140905453429,True,,,,,
KIRP,OS,,,,,True,1.2619542003150348,1.0229781688926294,1.5567569789066624,0.02985163832435827,136.0
KIRP,PFI,37.0,99.0,0.051962657313211986,3.7769706543899058,False,,,,,
LAML,OS,24.0,139.0,9.016737395289094e-05,15.332180679822267,True,,,,,
LAML,OS,,,,,True,0.789577935632321,0.6909515184453004,0.9022822872437932,0.0005196389710601584,163.0
LAML,PFI,24.0,139.0,9.016737395289094e-05,15.332180679822267,True,,,,,
LGG,OS,,,,,True,0.6946055276771268,0.5891412955585442,0.8189492787501856,1.4434462405164202e-05,122.0
LIHC,OS,93.0,46.0,0.8132238589086876,0.0558230900144676,False,,,,,
LIHC,OS,,,,,False,1.070244939342718,0.947384521971314,1.2090383615359304,0.2751897908776272,139.0
LIHC,PFI,93.0,46.0,0.5888681467427938,0.2921153431442684,False,,,,,
LUAD,OS,65.0,111.0,0.4124064258094775,0.6718526727431551,False,,,,,
LUAD,OS,,,,,False,1.0809284974228837,0.9210744499506454,1.2685254884700154,0.3405520835768065,176.0
LUAD,PFI,65.0,111.0,0.9942116275665235,5.2630855479929635e-05,False,,,,,
LUSC,OS,64.0,104.0,0.622860239790514,0.24186793108802085,False,,,,,
LUSC,OS,,,,,False,0.9360691973906473,0.8193685838576484,1.0693911867821873,0.33082751053453,168.0
LUSC,PFI,64.0,104.0,0.8491665071902325,0.036169197217642335,False,,,,,
OV,OS,26.0,60.0,0.5069250465634455,0.4404091409040257,False,,,,,
OV,OS,,,,,False,1.0042799259767607,0.8160257389518265,1.2359636731745647,0.9678342909597698,86.0
OV,PFI,26.0,60.0,0.041880266017452775,4.140036513694757,True,,,,,
PAAD,OS,71.0,32.0,0.21246792174581122,1.5545300847924859,False,,,,,
PAAD,OS,,,,,False,0.9598430396918126,0.7757110081705646,1.1876828498510128,0.7060584981256596,103.0
PAAD,PFI,71.0,32.0,0.017353238091597212,5.660291557173888,True,,,,,
PRAD,OS,84.0,76.0,0.19935971411404768,1.6470588235294117,False,,,,,
PRAD,OS,,,,,False,0.6084507401973155,0.15190585881370147,2.4371166862016316,0.48283495129555953,160.0
PRAD,PFI,84.0,76.0,0.04425238967924751,4.046905647668195,True,,,,,
SARC,OS,75.0,60.0,0.6452829729532578,0.2118990880491087,False,,,,,
SARC,OS,,,,,False,1.0607429224489926,0.9006320052062476,1.2493177468948158,0.47997249951658827,135.0
