nct_id,title,status,phase,condition,gene_symbol
NCT06467968,Heart Analysis in GATED-PET in Patients Having a Gallium-68-DOTATOC PET/CT Exam for Oncology Indication,RECRUITING,NA,Gallium-68-DOTATOC binds primarily with high affinity to somatostatin subtype 2 (SSTR2) receptors and these somatostatin,SSTR2
NCT06632860,A Dual-targeting Tracer TATE-RGD for the Diagnosis of SSTR- and RGD- Positive Tumors,RECRUITING,EARLY_PHASE1,"The US FDA approved a targeted somatostatin receptor 2 imaging agent, 68Ga-DOTATATE, in 2016. It has higher uptake in sm",SSTR2
NCT03538990,Effect of DASH Eating Pattern on Heart Failure Outcomes,UNKNOWN,NA,"The objective of the study is to examine the effect of nutritional intake on cardiometabolic, inflammation, and physical",SSTR2
NCT07284589,Ultralow Dose PET Imaging of SSTR2 Radiotracer Uptake,RECRUITING,PHASE2,The goal of this clinical trial is to evaluate an investigational ultralow dose positron emission tomography (PET) imagi,SSTR2
NCT05871320,Novel 99mTc-labeled Somatostatin Antaginosts in the Diagnostic Algotithm of Neuroendocrine Neoplasms,COMPLETED,EARLY_PHASE1,The main goal of the study is to expand cancer preclinical research results on the usefulness of SSTR2-Antagonist \[99mT,SSTR2
NCT02936323,PEN-221 in Somatostatin Receptor 2 Expressing Advanced Cancers Including Neuroendocrine and Small Cell Lung Cancers,COMPLETED,PHASE1,"Protocol PEN-221-001 is an open-label, multicenter Phase 1/2a study evaluating PEN-221 in patients with SSTR2 expressing",SSTR2
NCT04529044,177Lu-DOTATATE for the Treatment of Stage IV or Recurrent Breast Cancer,RECRUITING,PHASE2,This phase II trial investigates how well 177Lu-DOTATATE works in treating patients with breast cancer that is stage IV ,SSTR2
NCT02806687,Effect of Intratumoral Injection of Gene Therapy for Locally Advanced Pancreatic Cancer,COMPLETED,PHASE2,"Pancreatic ductal adenocarcinoma (PDAC) is the fifth leading cause of cancer-related death in Western countries, and its",SSTR2
NCT04927416,The Role of 68-Gallium-DOTATATE-PET/CT in the Imaging of Metastatic Thyroid Cancer,RECRUITING,PHASE2,"Background:

About 5% to 10% of differentiated thyroid cancers become resistant to standard treatment with radioactive i",SSTR2
NCT03454763,Optimizing the Interval Between Cycles of PRRT with 177lu-dotatate in Sstr2 Positive Tumors,ACTIVE_NOT_RECRUITING,PHASE2,Randomized Phase II Trial in sstr2 Positive Tumors to Optimize the Interval Between Cycles of PRRT With 177lu-dotatate,SSTR2
NCT02030184,Phase I/II Trial of Rhenium 188-P2045 in Small Cell Lung Cancer and Other Advanced Neuroendocrine Carcinomas,WITHDRAWN,PHASE1,There are two parts to this trial. The first study will evaluate increasing doses of Re188 P2045 in patients with advanc,SSTR2
