cancer_type,steap1_mean,steap1_median,steap1_std,n_samples,expression_rank,gene_median,gene_mean
PRAD,11.0129375,11.379999999999999,1.4699255946920637,160,1,11.379999999999999,11.0129375
STAD,8.930075757575757,8.98,1.1278720734481844,132,2,8.98,8.930075757575757
PAAD,8.795533980582524,8.95,0.990341323766453,103,3,8.95,8.795533980582524
COAD,8.53958904109589,8.57,0.9436889293963776,146,4,8.57,8.53958904109589
LUSC,8.18,8.52,1.4795010487638778,168,5,8.52,8.18
HNSC,8.22921052631579,8.48,1.1038774338280333,114,6,8.48,8.22921052631579
LIHC,8.062374100719426,8.47,1.9320183869312189,139,7,8.47,8.062374100719426
CESC,7.923960396039605,8.1,1.399039012471004,101,8,8.1,7.923960396039605
OV,7.993372093023255,8.09,1.1517379302245456,86,9,8.09,7.993372093023255
BLCA,7.647391304347827,7.96,1.6754633226477258,115,10,7.96,7.647391304347827
BRCA,7.833333333333333,7.9350000000000005,1.294312281575989,138,11,7.9350000000000005,7.833333333333333
UCEC,7.3271074380165295,7.65,1.5074185649737593,121,12,7.65,7.3271074380165295
LUAD,7.532613636363636,7.555,1.7925343554823199,176,13,7.555,7.532613636363636
TGCT,6.754367816091954,6.91,1.0744070307799374,87,14,6.91,6.754367816091954
SKCM,6.797950819672131,6.865,1.4352872483111565,122,15,6.865,6.797950819672131
GBM,6.409375,6.715,1.9947203498720187,32,16,6.715,6.409375
SARC,6.204370370370371,6.44,2.4476194976110324,135,17,6.44,6.204370370370371
KIRC,5.70993288590604,6.04,1.784343886018996,149,18,6.04,5.70993288590604
KIRP,5.071323529411765,5.16,1.6775528070613166,136,19,5.16,5.071323529411765
THYM,5.033801652892563,5.0,1.5890915938560337,121,20,5.0,5.033801652892563
ACC,4.454810126582278,4.27,2.1604129832876113,79,21,4.27,4.454810126582278
LGG,3.8765573770491804,3.82,1.469878147809518,122,22,3.82,3.8765573770491804
PCPG,3.2484967320261435,3.28,1.4003583992574293,153,23,3.28,3.2484967320261435
THCA,3.1597484276729557,3.07,1.790319945130215,159,24,3.07,3.1597484276729557
LAML,0.8858282208588957,0.01,1.2350737549581083,163,25,0.01,0.8858282208588957
