cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.3226318731861773,1.0962852663409948,1.595711559461793,0.0035015476258875144,True,79.0,,,,
BLCA,OS,,,,,False,,69.0,46.0,0.6113367365320974,0.25823296796811923
BLCA,OS,0.9836050241092993,0.8467069845469533,1.1426371355265519,0.8288419616621681,False,115.0,,,,
BLCA,PFI,,,,,False,,69.0,46.0,0.8668773119704773,0.028098562634316364
BRCA,OS,,,,,True,,94.0,44.0,0.03539362242573151,4.426084103390654
BRCA,OS,1.3153698489877732,1.0400111095851607,1.6636339974447563,0.022176998413218824,True,138.0,,,,
BRCA,PFI,,,,,False,,94.0,44.0,0.052112621225448,3.7721495670455454
CESC,OS,,,,,False,,66.0,35.0,0.14492368563195732,2.124884705131311
CESC,OS,0.8717734693959199,0.6852879181491459,1.1090068302899734,0.2638059947760585,False,101.0,,,,
CESC,PFI,,,,,False,,66.0,35.0,0.0940426888059908,2.803774351046077
COAD,OS,1.2438362784837949,0.8737554279673749,1.7706656097937103,0.22590192350216987,False,146.0,,,,
HNSC,OS,,,,,False,,89.0,25.0,0.8601948095484858,0.031020433164068252
HNSC,OS,1.0050948974725382,0.8025530864584052,1.258752561009171,0.9646963530338313,False,114.0,,,,
HNSC,PFI,,,,,False,,89.0,25.0,0.6211747785195109,0.2442198691753077
KIRC,OS,,,,,False,,20.0,129.0,0.7364667089507542,0.11325647929379586
KIRC,OS,1.0098818945341115,0.8127390546427692,1.2548448792781044,0.9292861294241475,False,149.0,,,,
KIRC,PFI,,,,,False,,20.0,129.0,0.3878662242499906,0.7456209222183717
KIRP,OS,1.2789497958035774,0.935520556945924,1.7484517769720815,0.12302858516087634,False,136.0,,,,
LAML,OS,1.16685341880001,1.0124287897501636,1.344832263512834,0.03312989432558549,True,163.0,,,,
LGG,OS,1.2605012301741096,1.0665309836282897,1.4897488921186361,0.006618152913516033,True,122.0,,,,
LIHC,OS,,,,,False,,105.0,34.0,0.4257160553504873,0.634481950268996
LIHC,OS,1.07848076962101,0.9638178386622477,1.2067848547571034,0.1877112342078519,False,139.0,,,,
LIHC,PFI,,,,,False,,105.0,34.0,0.8985049750171323,0.01626904344073678
LUAD,OS,,,,,False,,91.0,85.0,0.38168242839545186,0.7652760328799765
LUAD,OS,1.0920337945129746,0.9645449202399196,1.236373530495371,0.1645209670209981,False,176.0,,,,
LUAD,PFI,,,,,False,,91.0,85.0,0.3717958802117992,0.7976534383111503
LUSC,OS,,,,,False,,119.0,49.0,0.1624412274336573,1.95135206400123
LUSC,OS,0.8862607610476725,0.7844274210828542,1.001313971773861,0.052516146817577714,False,168.0,,,,
LUSC,PFI,,,,,False,,119.0,49.0,0.27188173973451724,1.2072283290882162
OV,OS,,,,,False,,60.0,26.0,0.9004887794270766,0.015635982126634328
OV,OS,0.9667479934945743,0.7837345257267357,1.1924977811321436,0.7521370496571952,False,86.0,,,,
OV,PFI,,,,,False,,60.0,26.0,0.981030397345152,0.0005653510264799221
PAAD,OS,1.0440157342246608,0.7911486158432246,1.3777043041994625,0.7608202240905734,False,103.0,,,,
PRAD,OS,0.5325415207913275,0.10081235039717316,2.8131520617209254,0.45809550588875136,False,160.0,,,,
SARC,OS,,,,,False,,50.0,85.0,0.6500042796643128,0.20589472968476655
SARC,OS,0.9850615291404721,0.8745357127652136,1.109555850068611,0.8042316884255235,False,135.0,,,,
SARC,PFI,,,,,False,,50.0,85.0,0.6888573216837656,0.1603251649575978
SKCM,OS,,,,,False,,36.0,86.0,0.40016724972247775,0.7078236672393914
SKCM,OS,1.0665659389785325,0.8681418140363566,1.3103422549135724,0.5394731549057816,False,122.0,,,,
SKCM,PFI,,,,,False,,36.0,86.0,0.5298938254165846,0.39459516153640245
STAD,OS,0.940224450710504,0.7210312368990393,1.2260523157301881,0.6490220511223079,False,132.0,,,,
TGCT,OS,,,,,False,,25.0,62.0,0.7854718132476719,0.07409031126698817
TGCT,OS,1.3828637826147407,0.3140456987299075,6.089280155727328,0.6682192725424037,False,87.0,,,,
TGCT,PFI,,,,,False,,25.0,62.0,0.3558735007314767,0.8524027437364853
THCA,OS,0.96085070245503,0.6232002303243174,1.481440518608069,0.8565317852608549,False,159.0,,,,
THYM,OS,1.6839430350280493,1.0090027284027625,2.8103632085398775,0.0461235444054403,True,121.0,,,,
UCEC,OS,,,,,False,,65.0,56.0,0.07572044702940414,3.154444758649668
UCEC,OS,0.9143688412803394,0.6962157872088646,1.2008782237704838,0.519764564975308,False,121.0,,,,
UCEC,PFI,,,,,False,,65.0,56.0,0.5011536033607702,0.4524926543230982
