cancer_type,tacstd2_mean,tacstd2_median,tacstd2_std,n_samples,expression_rank,gene_median,gene_mean
CESC,14.235742574257426,14.48,1.5229854539913723,101,1,14.48,14.235742574257426
BLCA,13.593739130434782,14.2,2.2295029187429756,115,2,14.2,13.593739130434782
HNSC,13.814473684210526,13.68,0.9470308440886883,114,3,13.68,13.814473684210526
PRAD,13.214500000000001,13.34,0.6337150124315605,160,4,13.34,13.214500000000001
PAAD,12.561456310679612,12.7,1.2840372969408933,103,5,12.7,12.561456310679612
LUSC,12.448273809523808,12.504999999999999,1.620791185900265,168,6,12.504999999999999,12.448273809523808
BRCA,12.183623188405797,12.465,1.4120890679446316,138,7,12.465,12.183623188405797
OV,12.388139534883722,12.445,1.1846414316059641,86,8,12.445,12.388139534883722
LUAD,12.399772727272728,12.395,1.096348721657721,176,9,12.395,12.399772727272728
THCA,10.929811320754716,12.09,3.272980384464016,159,10,12.09,10.929811320754716
UCEC,11.707603305785122,12.03,1.8845901520814317,121,11,12.03,11.707603305785122
KIRP,10.761911764705882,11.665,2.9626005879984416,136,12,11.665,10.761911764705882
STAD,10.789318181818182,11.23,2.2268147906208924,132,13,11.23,10.789318181818182
THYM,8.22702479338843,7.99,2.2296747313708116,121,14,7.99,8.22702479338843
COAD,7.69931506849315,7.47,2.563586296586725,146,15,7.47,7.69931506849315
KIRC,7.961744966442953,7.34,2.432434752755005,149,16,7.34,7.961744966442953
TGCT,6.717471264367815,7.2,2.508220076019259,87,17,7.2,6.717471264367815
LIHC,6.054388489208633,6.5,2.657311792756829,139,18,6.5,6.054388489208633
PCPG,4.923006535947713,4.98,1.0786547939126234,153,19,4.98,4.923006535947713
SARC,5.321629629629629,4.81,2.4387393389402314,135,20,4.81,5.321629629629629
ACC,4.3463291139240505,4.26,1.719175545708473,79,21,4.26,4.3463291139240505
SKCM,4.694672131147541,4.220000000000001,2.2590633561247246,122,22,4.220000000000001,4.694672131147541
GBM,3.7243749999999998,3.48,1.8940636251533456,32,23,3.48,3.7243749999999998
LAML,2.753435582822086,2.16,2.6987229216542126,163,24,2.16,2.753435582822086
LGG,2.1508196721311474,1.9849999999999999,1.3322320735486093,122,25,1.9849999999999999,2.1508196721311474
