cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.1179131616272393,0.8843226504124874,1.4132057302348646,0.3513214490180677,False,79.0,,,,
BLCA,OS,1.0015752182750381,0.8906427240524613,1.126324721206168,0.9790337305249152,False,115.0,,,,
BRCA,OS,,,,,False,,104.0,34.0,0.7285045443388138,0.12048917494191982
BRCA,OS,0.958330988563981,0.8019965319943785,1.1451399688202824,0.6394855194066359,False,138.0,,,,
BRCA,PFI,,,,,False,,104.0,34.0,0.49718295868370266,0.46094435367777054
CESC,OS,0.929324233793737,0.7033553612161906,1.2278907350943729,0.606091622754158,False,101.0,,,,
COAD,OS,0.9801849378354982,0.8651329617685225,1.1105374027080983,0.7533913867367226,False,146.0,,,,
HNSC,OS,0.945552505544045,0.715792281508696,1.2490628410467979,0.6934516596053792,False,114.0,,,,
KIRC,OS,0.9865257876288943,0.8425550055584572,1.1550974396167022,0.8661523277822234,False,149.0,,,,
KIRP,OS,,,,,False,,70.0,66.0,0.18796418360583766,1.7335027333137571
KIRP,OS,0.9354098572543297,0.8172197342854378,1.0706931861032973,0.3326250730353818,False,136.0,,,,
KIRP,PFI,,,,,True,,70.0,66.0,0.03688854719243783,4.3555499459557305
LAML,OS,0.9442724548297051,0.8784654830384686,1.0150091109624981,0.11976451166702429,False,163.0,,,,
LGG,OS,1.0550176418194461,0.8771370423073795,1.2689718605684075,0.5697047174164713,False,122.0,,,,
LIHC,OS,1.0530178802282044,0.9667185868597016,1.1470211405392439,0.23636390538774685,False,139.0,,,,
LUAD,OS,,,,,False,,149.0,27.0,0.6834355598169405,0.16628412666863254
LUAD,OS,0.9979842689579848,0.8047114683921716,1.2376766582904242,0.9853416965647919,False,176.0,,,,
LUAD,PFI,,,,,False,,149.0,27.0,0.2026948604196361,1.6228499485046273
LUSC,OS,,,,,False,,132.0,36.0,0.1762619891192732,1.828862257141725
LUSC,OS,0.9478473956256167,0.8436994038381831,1.0648516299847657,0.3671078943828413,False,168.0,,,,
LUSC,PFI,,,,,False,,132.0,36.0,0.4291491745774535,0.6251249472614436
OV,OS,,,,,False,,64.0,22.0,0.3294306942351781,0.9511344760415782
OV,OS,1.0734834957491313,0.872754985651961,1.3203783817802428,0.501987542954544,False,86.0,,,,
OV,PFI,,,,,False,,64.0,22.0,0.12112352509588412,2.402732384254735
PAAD,OS,0.94267886412832,0.7739068962387933,1.148256263373655,0.5575578389915246,False,103.0,,,,
PRAD,OS,0.5239233805536695,0.034919976919769245,7.860707048044609,0.6399266679863957,False,160.0,,,,
SARC,OS,1.0097435741689484,0.9076985594695508,1.1232606628474937,0.8584236090193844,False,135.0,,,,
SKCM,OS,1.0519764415011432,0.9324200671447391,1.1868625230924197,0.41039510451153693,False,122.0,,,,
STAD,OS,,,,,False,,55.0,77.0,0.27761337969374045,1.1787364485047365
STAD,OS,0.9860157622538651,0.8587170583365407,1.1321855947480715,0.841732468327418,False,132.0,,,,
STAD,PFI,,,,,False,,55.0,77.0,0.7942735954148744,0.06799848082286403
TGCT,OS,0.7997119547589207,0.48092046956283374,1.3298232266255747,0.38902379262893283,False,87.0,,,,
THCA,OS,,,,,False,,86.0,73.0,0.148942079410439,2.0830523609891136
THCA,OS,0.8488657487931024,0.6713818742151573,1.0732685631652201,0.17095702427548376,False,159.0,,,,
THCA,PFI,,,,,False,,86.0,73.0,0.611614145288089,0.2578311051554648
THYM,OS,1.1235129601424811,0.8282146696802334,1.5240992677604668,0.4541426683479858,False,121.0,,,,
UCEC,OS,,,,,False,,73.0,48.0,0.6510838455459084,0.20453639890383365
UCEC,OS,1.1234993271309923,0.8692071924269582,1.4521862555455816,0.373799187887522,False,121.0,,,,
UCEC,PFI,,,,,False,,73.0,48.0,0.5194087426376626,0.4150671847175958
